tracedir, tracefile, reid_rate, MIA_acc, MIA_adv, -, TP-TV_syn, TP-TV_tes, TP-TV_uni, -, TP-TV-Top50_syn, TP-TV-Top50_tes, TP-TV-Top50_uni, -, TP-SWD_syn, TP-SWD_tes, TP-SWD_uni, -, VF-TV_syn, VF-TV_tes, VF-TV_uni, -, TM-TV_syn, TM-TV_tes, TM-TV_uni, -, TM-SWD_syn, TM-SWD_tes, TM-SWD_uni
PPMTF_TK_alp2_mnt100_mnv100,syntraces_Itr100.csv,0.0078,0.503,0.006000000000000005,-,0.4504066666666552,0.38553333333332435,0.5409833333333685,-,0.1373633333333314,0.12156666666666455,0.19826666666666481,-,0.5418143130421422,0.32040310348144796,1.5188119572542478,-,-,-,-,-,0.4771695560441406,0.2995125080722108,0.9883499999999971,-,1.880782339320066,0.6222553231783196,6.209186090742196
PPMTF_TK_alp0.5_mnt100_mnv100,syntraces_Itr100.csv,0.0026,0.5055,0.01100000000000001,-,0.515739999999987,0.38553333333332435,0.5409833333333685,-,0.1601799999999979,0.12156666666666455,0.19826666666666481,-,0.8639331966054018,0.32040310348144796,1.5188119572542478,-,-,-,-,-,0.5002246010347926,0.2995125080722108,0.9883499999999971,-,2.3624957188145648,0.6222553231783196,6.209186090742196
PPMTF_TK_alp1_mnt100_mnv100,syntraces_Itr100.csv,0.0048,0.5028,0.005600000000000049,-,0.45647333333332113,0.38553333333332435,0.5409833333333685,-,0.13549333333333133,0.12156666666666455,0.19826666666666481,-,0.5585928898324453,0.32040310348144796,1.5188119572542478,-,-,-,-,-,0.492207052350775,0.2995125080722108,0.9883499999999971,-,2.132911199769854,0.6222553231783196,6.209186090742196
PPMTF_TK_alp0.7_mnt100_mnv100,syntraces_Itr100.csv,0.0024,0.504,0.008000000000000007,-,0.47418666666665377,0.38553333333332435,0.5409833333333685,-,0.14249666666666477,0.12156666666666455,0.19826666666666481,-,0.6251923874944911,0.32040310348144796,1.5188119572542478,-,-,-,-,-,0.5130217075819954,0.2995125080722108,0.9883499999999971,-,2.363488462540942,0.6222553231783196,6.209186090742196
PPMTF_TK_alp10_mnt100_mnv100,syntraces_Itr100.csv,0.0114,0.5112,0.022399999999999975,-,0.41724666666665683,0.38553333333332435,0.5409833333333685,-,0.13095999999999794,0.12156666666666455,0.19826666666666481,-,0.46020673787438576,0.32040310348144796,1.5188119572542478,-,-,-,-,-,0.5120845304119409,0.2995125080722108,0.9883499999999971,-,2.1052564721602947,0.6222553231783196,6.209186090742196
PPMTF_TK_alp0.9_mnt100_mnv100,syntraces_Itr100.csv,0.0044,0.5068,0.013600000000000056,-,0.46395999999998755,0.38553333333332435,0.5409833333333685,-,0.1379466666666647,0.12156666666666455,0.19826666666666481,-,0.5644455700157718,0.32040310348144796,1.5188119572542478,-,-,-,-,-,0.4956519794380384,0.2995125080722108,0.9883499999999971,-,2.249790749367599,0.6222553231783196,6.209186090742196
PPMTF_TK_alp100_mnt100_mnv100,syntraces_Itr100.csv,0.0178,0.5272,0.054400000000000004,-,0.3948999999999915,0.38553333333332435,0.5409833333333685,-,0.12326333333333128,0.12156666666666455,0.19826666666666481,-,0.3535828074921474,0.32040310348144796,1.5188119572542478,-,-,-,-,-,0.5118282955393747,0.2995125080722108,0.9883499999999971,-,1.8822380875639682,0.6222553231783196,6.209186090742196
PPMTF_TK_alp0.8_mnt100_mnv100,syntraces_Itr100.csv,0.0022,0.5018,0.0036000000000000476,-,0.47513333333332036,0.38553333333332435,0.5409833333333685,-,0.14364666666666473,0.12156666666666455,0.19826666666666481,-,0.6044450258916664,0.32040310348144796,1.5188119572542478,-,-,-,-,-,0.5163968762972041,0.2995125080722108,0.9883499999999971,-,2.4500622156113114,0.6222553231783196,6.209186090742196
PPMTF_TK_alp1000_mnt100_mnv100,syntraces_Itr100.csv,0.0148,0.5199,0.03980000000000006,-,0.39830666666666037,0.38553333333332435,0.5409833333333685,-,0.12551333333333128,0.12156666666666455,0.19826666666666481,-,0.368410956842946,0.32040310348144796,1.5188119572542478,-,-,-,-,-,0.4905441889236831,0.2995125080722108,0.9883499999999971,-,1.7087599052047266,0.6222553231783196,6.209186090742196
PPMTF_TK_alp20_mnt100_mnv100,syntraces_Itr100.csv,0.0152,0.5164,0.03280000000000005,-,0.4059733333333247,0.38553333333332435,0.5409833333333685,-,0.1265899999999979,0.12156666666666455,0.19826666666666481,-,0.3836501503710535,0.32040310348144796,1.5188119572542478,-,-,-,-,-,0.5090869446381874,0.2995125080722108,0.9883499999999971,-,2.0414737997031365,0.6222553231783196,6.209186090742196
PPMTF_TK_alp200_mnt100_mnv100,syntraces_Itr100.csv,0.016,0.5115,0.02299999999999991,-,0.39423333333332605,0.38553333333332435,0.5409833333333685,-,0.12384333333333127,0.12156666666666455,0.19826666666666481,-,0.35447609674608915,0.32040310348144796,1.5188119572542478,-,-,-,-,-,0.5066761719420609,0.2995125080722108,0.9883499999999971,-,1.8510269391389809,0.6222553231783196,6.209186090742196
PPMTF_TK_alp0.6_mnt100_mnv100,syntraces_Itr100.csv,0.004,0.5031,0.006199999999999983,-,0.5062466666666536,0.38553333333332435,0.5409833333333685,-,0.1603466666666647,0.12156666666666455,0.19826666666666481,-,0.7400357482500454,0.32040310348144796,1.5188119572542478,-,-,-,-,-,0.505788392642042,0.2995125080722108,0.9883499999999971,-,2.384936691874442,0.6222553231783196,6.209186090742196
